,index,year,val,Received Array,Z Array,SH Array,SL Array
0,1826,1990,9071.94889388962,0.8511334328358273,-2.000761077922237,0.0,0.0
1,1829,1991,9084.330987690251,0.8522951252268994,-1.9587998803086546,0.0,0.9587998803086546
2,1832,1992,9108.3387765564,0.8545475444139394,-1.8774408154285063,0.0,1.8362406957371609
3,1835,1993,9142.78824200982,0.8577796053672895,-1.7606963575970298,0.0,2.596937053334191
4,1838,1994,9189.664362062447,0.8621775394214916,-1.6018396917893405,0.0,3.1987767451235314
5,1841,1995,9252.29053873599,0.8680531493219659,-1.3896082697460328,0.0,3.588385014869564
6,1844,1996,9344.52744003271,0.8767068478109086,-1.0770302110675498,0.0,3.6654152259371138
7,1847,1997,9466.42862741774,0.8881436600437977,-0.6639240033813611,0.0,3.3293392293184745
8,1850,1998,9593.91599662478,0.9001045698180452,-0.23188700070095525,0.0,2.5612262300194297
9,1853,1999,9703.15793765887,0.9103536871102095,0.13831877783942848,0.0,1.4229074521800014
10,1856,2000,9778.37211092919,0.9174103072744383,0.3932091734990967,0.0,0.0296982786809048
11,1859,2001,9827.97231656662,0.9220638159953686,0.5612973873293313,0.0,0.0
12,1862,2002,9872.45334892089,0.9262370420801486,0.7120374332962335,0.0,0.0
13,1865,2003,9911.144039849789,0.9298670162978477,0.8431548157045939,0.0,0.0
14,1868,2004,9945.69244152415,0.9331083594822098,0.9602345546593564,0.0,0.0
15,1871,2005,9978.76072363091,0.9362108373286699,1.0722983737973384,0.07229837379733839,0.0
16,1874,2006,9987.17784154998,0.93700053428936,1.1008228183723614,0.1731211921696998,0.0
17,1877,2007,9967.86439839583,0.9351885402664724,1.035372239670671,0.20849343184037084,0.0
18,1880,2008,9933.15681781928,0.9319322628615762,0.9177530655058196,0.12624649734619053,0.0
19,1883,2009,9896.114783151,0.9284569661535368,0.7922227503788605,0.0,0.0
20,1886,2010,9868.28154224185,0.9258456417116732,0.6978997593871634,0.0,0.0
21,1889,2011,9841.62702783661,0.9233449058045756,0.607571308944048,0.0,0.0
22,1892,2012,9815.79466604988,0.9209213045450264,0.5200290196340379,0.0,0.0
23,1895,2013,9792.58937992993,0.9187441764476103,0.4413895251965735,0.0,0.0
24,1898,2014,9772.07818196293,0.9168198086473257,0.3718799216478792,0.0,0.0
25,1901,2015,9753.61273062521,0.9150873735146142,0.3093030695353071,0.0,0.0
26,1904,2016,9740.90493232988,0.9138951234134068,0.26623810458756714,0.0,0.0
27,1907,2017,9738.6493781824,0.913683506530756,0.2585943445874814,0.0,0.0
28,1910,2018,9742.50978908999,0.914045691638539,0.27167674143984594,0.0,0.0
29,1913,2019,9748.11857038999,0.9145719094708626,0.29068412292880075,0.0,0.0
30,1916,2020,10300.83281434384,0.9664277540458424,2.1637559949256593,1.1637559949256593,0.0
31,1919,2021,10658.66824625074,1.0,3.3764106164422083,3.5401666113678676,0.0
